model,micro_wer,macro_wer,micro_ser,macro_ser,substitutions,insertions,deletions
base_transcript,0.5535589116166444,0.5972172117029008,0.49286104866638314,0.5178815698935828,7100,504,508
ft_v1_inference_checkpoint-5000,0.5182565475052571,0.5738740985951234,0.48210705389148795,0.5440424343257099,6651,480,804
ft_v1_inference_checkpoint-10000,0.40980054801503857,0.4679552413294852,0.39759402150798956,0.479418050592188,5078,652,814
ft_v1_inference_checkpoint-19000,0.3941884916841904,0.4592440920690446,0.3864754845373352,0.4704815022591255,4962,637,762
ft_v2_inference_checkpoint-20000,0.3919581979226407,0.4510195125772621,0.38428823136278023,0.4665372243930654,4999,665,661
ft_v2_inference_checkpoint-32000,0.38641432485821703,0.4429847994193427,0.3797314539157908,0.4655471996665233,4905,638,707
ft_v2_inference_checkpoint-43000,0.38099789715159627,0.4375001935072245,0.3755392186645604,0.4607023706973961,4858,654,669
ft_v3_inference_checkpoint-1000,0.41247690052889824,0.47391160986923914,0.40148247159608724,0.48557158754267693,5217,654,737
ft_v3_inference_checkpoint-25000,0.3911298030969222,0.4519507580126224,0.3827693055471171,0.46346152957429354,4951,649,700
ft_v4_inference_checkpoint-22000,0.40890843051041864,0.47620171588845034,0.3924296737347348,0.47617469678609764,5121,600,738
ft_v5_base_inference_checkpoint-28000,0.4128592366023068,0.4590233735658298,0.40148247159608724,0.46976534032892286,5254,596,758
ft_v6_ft_inference_checkpoint-25000,0.40400178423500926,0.4508872276075435,0.3927334588978674,0.4641250916524783,5059,647,758
ft_v7_scratch_inference_checkpoint-23000,0.41171222838208116,0.46476922104444907,0.3968041800838447,0.470994750522651,5270,645,616
ft_v8_scartch_inference_checkpoint-10000,0.49072835021984323,0.52613666669208,0.464001458168783,0.522119011460378,6377,519,741
ft_v8_scartch_inference_checkpoint-55000,0.40068820493213536,0.4536166758900497,0.3937055714198919,0.47186377055757955,5131,648,701
ft_v8_scartch_inference_checkpoint-59000,0.43038297330019754,0.4802477801802355,0.4153350750349353,0.4879522374149163,5413,658,765
whisper-small-latin-added-tibetan-checkpoint-4000,0.6077231886828522,0.5871861341176221,0.5656479737529619,0.5656800229356719,7289,543,1478
whisper-small-tibetan-wylie-checkpoint-4000_to_tibetan,0.6753966736761613,0.7124242870608974,0.6165623670939911,0.6562800512792923,6741,1561,1846
